GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ
1418,Trochu,17.5,145.0,58.8,10.0,35.0,35.0,40.0,5.0,570.0,110.0,8747.0,43878.0,25.0,75.0,175.0,0.0,0.0,60.6,50.0,1.58,225.0,0.0,32256.0,8352.0,35157.0,85.0,540.0,67.1,670.2,1067.0,1058.0,315.0,12.9,145.0,480.0,850.0,545.0,850.0,35.0,10.5,0.0,10.0,25.0,1418,2016S05101418,48,Alberta,Trochu,,5.3,4.0,00000
1419,Eckville,19.4,60.0,61.6,20.0,65.0,50.0,30.0,0.0,505.0,80.0,9389.0,45757.0,65.0,55.0,60.0,0.0,0.0,46.9,20.0,1.12,150.0,0.0,32299.0,8416.0,35200.0,95.0,500.0,63.6,966.3,1089.0,1085.0,220.0,12.1,190.0,355.0,815.0,505.0,815.0,25.0,26.2,0.0,10.0,70.0,1419,2016S05101419,48,Alberta,Eckville,,8.0,19.9,00112
1420,Kimosom Pwatinahk 203 (Deschambault Lake),38.9,15.0,57.2,15.0,0.0,0.0,0.0,0.0,145.0,25.0,7114.0,18296.0,20.0,10.0,30.0,0.0,0.0,18.9,15.0,1.2,95.0,0.0,7184.0,2648.0,7184.0,220.0,520.0,27.6,874.8,1189.0,1046.0,85.0,0.0,95.0,120.0,635.0,400.0,635.0,20.0,31.4,0.0,10.0,25.0,1420,2016S05101420,47,Saskatchewan,Kimosom Pwatinahk 203 (Deschambault Lake),,13.3,14.6,01212
1421,Birch Hills,19.3,100.0,58.9,45.0,125.0,15.0,15.0,0.0,470.0,60.0,9470.0,47559.0,65.0,35.0,125.0,0.0,0.0,57.8,55.0,2.27,150.0,10.0,34944.0,9568.0,38848.0,65.0,520.0,61.0,454.7,1064.0,1033.0,280.0,10.0,120.0,405.0,765.0,465.0,770.0,25.0,5.3,0.0,10.0,80.0,1421,2016S05101421,47,Saskatchewan,Birch Hills,,5.5,8.4,00001
1423,Pelican Narrows,38.7,15.0,59.3,10.0,10.0,0.0,10.0,5.0,285.0,25.0,6990.0,17319.0,45.0,15.0,65.0,0.0,0.0,20.6,20.0,1.43,220.0,0.0,7592.0,2042.0,7592.0,405.0,900.0,36.6,1362.4,1763.0,1942.0,140.0,57.1,135.0,250.0,1190.0,675.0,1190.0,15.0,43.7,0.0,10.0,40.0,1423,2016S05101423,47,Saskatchewan,Pelican Narrows,,13.0,14.8,01212
1424,Welcome Beach,15.1,230.0,66.7,30.0,90.0,35.0,30.0,5.0,635.0,115.0,9277.0,38172.0,95.0,85.0,130.0,0.0,10.0,59.4,60.0,1.41,135.0,15.0,28960.0,7152.0,31936.0,40.0,640.0,63.4,799.5,1155.0,1125.0,390.0,13.8,250.0,520.0,1010.0,685.0,1005.0,35.0,6.2,15.0,20.0,125.0,1424,2016S05101424,59,British Columbia,Welcome Beach,,3.4,8.2,00001
1426,Factory Island,26.6,30.0,64.3,105.0,15.0,0.0,15.0,0.0,760.0,70.0,8116.0,37538.0,90.0,25.0,275.0,0.0,0.0,50.2,110.0,1.26,580.0,15.0,24416.0,5280.0,24917.0,205.0,1010.0,61.2,1438.4,1869.0,1807.0,495.0,9.1,160.0,645.0,1310.0,865.0,1310.0,45.0,18.6,10.0,25.0,125.0,1426,2016S05101426,35,Ontario,Factory Island,,15.1,15.7,01212
1429,New Dundee,16.1,310.0,65.6,50.0,75.0,20.0,50.0,0.0,675.0,70.0,7478.0,56308.0,115.0,60.0,145.0,0.0,10.0,66.8,50.0,1.52,115.0,25.0,37312.0,5776.0,42368.0,55.0,595.0,71.1,734.0,1219.0,1119.0,395.0,5.8,130.0,565.0,950.0,585.0,955.0,10.0,5.2,30.0,15.0,165.0,1429,2016S05101429,35,Ontario,New Dundee,,1.9,2.5,00000
1431,Sunderland,20.1,165.0,62.7,45.0,100.0,80.0,140.0,10.0,725.0,80.0,7223.0,44934.0,65.0,50.0,215.0,0.0,0.0,70.8,40.0,1.1,160.0,0.0,32560.0,5275.0,36736.0,50.0,665.0,75.5,1130.3,1085.0,1243.0,380.0,9.5,250.0,635.0,960.0,680.0,960.0,30.0,6.2,0.0,15.0,70.0,1431,2016S05101431,35,Ontario,Sunderland,,3.8,7.3,00001
1432,Saint-Charles,18.9,345.0,62.8,75.0,125.0,15.0,25.0,0.0,765.0,280.0,8118.0,41822.0,125.0,55.0,110.0,0.0,0.0,68.8,45.0,1.39,195.0,15.0,32448.0,7120.0,37222.0,70.0,850.0,71.1,1069.0,1300.0,1482.0,545.0,7.0,150.0,700.0,1090.0,765.0,1090.0,225.0,3.2,0.0,10.0,145.0,1432,2016S05101432,24,Quebec,Saint-Charles,,4.8,5.2,00000
1433,Manawan,35.5,15.0,60.3,15.0,10.0,0.0,15.0,0.0,360.0,140.0,8683.0,21196.0,30.0,15.0,85.0,0.0,0.0,30.0,30.0,0.88,260.0,10.0,16200.0,4192.0,16200.0,360.0,880.0,39.0,1874.2,1639.0,1648.0,290.0,0.0,40.0,305.0,1065.0,695.0,1060.0,125.0,24.1,0.0,30.0,35.0,1433,2016S05101433,24,Quebec,Manawan,,16.0,17.5,01212
1434,Terrasse-des-Pins,19.3,770.0,66.1,185.0,295.0,195.0,235.0,5.0,2265.0,475.0,8858.0,45315.0,405.0,160.0,575.0,15.0,0.0,61.8,200.0,6.57,500.0,70.0,32768.0,7312.0,37488.0,245.0,2385.0,64.3,649.5,3880.0,4268.0,1695.0,10.1,480.0,1995.0,3570.0,2425.0,3570.0,310.0,4.1,45.0,100.0,545.0,1434,2016S05101434,24,Quebec,Terrasse-des-Pins,,1.9,6.9,00000
1435,Domaine-C.-L.-C.,20.1,165.0,71.1,55.0,190.0,120.0,145.0,5.0,830.0,270.0,8139.0,36011.0,30.0,70.0,95.0,0.0,0.0,67.1,50.0,1.91,95.0,0.0,29248.0,6603.0,32992.0,205.0,925.0,71.9,796.5,1367.0,1521.0,400.0,10.5,195.0,720.0,1150.0,805.0,1155.0,200.0,6.6,0.0,10.0,30.0,1435,2016S05101435,24,Quebec,Domaine-C.-L.-C.,,2.2,4.8,00000
1436,Saint-Michel,24.0,240.0,67.6,65.0,170.0,110.0,85.0,5.0,910.0,245.0,7027.0,48443.0,90.0,70.0,155.0,10.0,10.0,76.3,85.0,1.05,265.0,15.0,36139.0,5392.0,42214.0,120.0,775.0,78.0,1476.9,1319.0,1558.0,545.0,2.9,160.0,860.0,1175.0,820.0,1175.0,175.0,1.6,10.0,20.0,120.0,1436,2016S05101436,24,Quebec,Saint-Michel,,1.2,5.1,00000
1437,L'Ange-Gardien,25.9,205.0,63.3,60.0,170.0,80.0,40.0,5.0,855.0,255.0,8213.0,39751.0,65.0,95.0,155.0,10.0,0.0,74.2,60.0,1.42,290.0,25.0,33677.0,6688.0,38352.0,130.0,810.0,76.0,1114.3,1311.0,1585.0,530.0,8.7,175.0,775.0,1125.0,830.0,1125.0,160.0,2.9,0.0,15.0,100.0,1437,2016S05101437,24,Quebec,L'Ange-Gardien,,3.2,2.1,00000
