GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ,lng,lat,pharmacies
730,Russell,16.8,125.0,55.6,30.0,65.0,30.0,30.0,5.0,665.0,95.0,8975.0,43811.0,85.0,30.0,145.0,10.0,0.0,56.3,75.0,1.51,365.0,20.0,29712.0,9488.0,32992.0,80.0,795.0,58.5,923.0,1371.0,1395.0,365.0,15.9,180.0,620.0,1140.0,620.0,1145.0,65.0,4.5,0.0,20.0,105.0,730,2016S05100730,46,Manitoba,Russell,,5.8,7.1,0,-101.283251787852,50.7798135534002,2
732,Sackville,12.5,240.0,58.9,140.0,140.0,40.0,25.0,10.0,1445.0,65.0,8867.0,44098.0,275.0,35.0,310.0,10.0,110.0,53.0,130.0,4.03,680.0,135.0,28387.0,8339.0,31147.0,90.0,1745.0,60.5,735.5,2912.0,2963.0,945.0,17.6,360.0,1130.0,2405.0,1395.0,2405.0,35.0,12.4,35.0,0.0,560.0,732,2016S05100732,13,New Brunswick,Sackville,,6.5,5.6,0,-64.3723732139746,45.8967757451285,6
734,Saint John,15.0,9740.0,65.4,2425.0,2050.0,670.0,615.0,410.0,28465.0,2355.0,8402.0,36925.0,4480.0,1175.0,8155.0,85.0,105.0,55.3,2855.0,58.27,12305.0,1190.0,27067.0,7175.0,29455.0,3695.0,33935.0,61.2,1001.2,60459.0,58341.0,17270.0,24.1,10000.0,25385.0,47900.0,30970.0,47900.0,1180.0,9.6,385.0,515.0,6245.0,734,2016S05100734,13,New Brunswick,Saint John,,4.2,6.6,0,-66.0981062351046,45.2895613464906,22
735,Salisbury,18.6,300.0,59.6,50.0,130.0,20.0,15.0,5.0,695.0,75.0,9015.0,32672.0,75.0,35.0,210.0,0.0,0.0,51.8,50.0,2.68,145.0,20.0,26528.0,8448.0,29120.0,95.0,905.0,56.2,572.5,1493.0,1534.0,375.0,19.3,250.0,610.0,1245.0,715.0,1245.0,40.0,7.1,0.0,0.0,90.0,735,2016S05100735,13,New Brunswick,Salisbury,,2.3,1.0,0,-65.03518792521,46.0277077510762,3
736,Salmon Arm,14.8,790.0,56.2,475.0,305.0,120.0,215.0,65.0,5780.0,670.0,9348.0,43661.0,795.0,405.0,1575.0,55.0,30.0,52.9,775.0,12.6,3555.0,200.0,28898.0,9767.0,31680.0,455.0,7550.0,56.5,1021.7,12218.0,12875.0,3680.0,13.6,1800.0,4985.0,10340.0,5935.0,10340.0,265.0,6.3,100.0,250.0,1180.0,736,2016S05100736,59,British Columbia,Salmon Arm,,4.9,4.9,0,-119.260259671357,50.7032433265655,7
745,Selkirk,16.4,560.0,62.1,440.0,680.0,430.0,195.0,30.0,4380.0,450.0,8970.0,38555.0,425.0,200.0,1215.0,0.0,20.0,53.2,690.0,5.87,2065.0,65.0,29495.0,7803.0,32817.0,745.0,5645.0,58.4,1676.7,9416.0,9839.0,2320.0,18.0,1565.0,3935.0,7690.0,4630.0,7685.0,255.0,9.0,50.0,95.0,560.0,745,2016S05100745,46,Manitoba,Selkirk,,5.4,5.2,0,-96.8862376583474,50.1367429198844,11
753,Shediac,11.5,1095.0,58.8,285.0,465.0,50.0,75.0,40.0,3385.0,260.0,9830.0,38924.0,535.0,110.0,1105.0,30.0,10.0,51.7,315.0,11.43,1250.0,105.0,27716.0,9968.0,30912.0,575.0,4405.0,58.1,628.4,6561.0,7184.0,2160.0,15.4,815.0,2930.0,5905.0,3550.0,5905.0,150.0,10.9,40.0,75.0,715.0,753,2016S05100753,13,New Brunswick,Shediac,,6.5,3.8,0,-64.5265312434759,46.2203191183752,10
759,Shilo CFB-BFC,27.8,115.0,72.2,45.0,85.0,10.0,20.0,0.0,970.0,75.0,2920.0,48271.0,115.0,25.0,160.0,0.0,0.0,85.8,50.0,1.23,685.0,0.0,47125.0,703.0,57399.0,85.0,840.0,89.5,1151.3,1421.0,1419.0,370.0,0.4,370.0,915.0,1095.0,820.0,1095.0,55.0,4.1,0.0,10.0,130.0,759,2016S05100759,46,Manitoba,Shilo CFB-BFC,,2.5,0.0,0,-99.6489743464852,49.8055696753096,3
760,Shippagan,13.4,145.0,60.9,70.0,65.0,30.0,25.0,5.0,900.0,80.0,10720.0,41999.0,160.0,35.0,175.0,0.0,0.0,47.7,80.0,2.78,470.0,35.0,25680.0,10664.0,28192.0,225.0,1345.0,54.4,767.5,2110.0,2130.0,540.0,21.4,240.0,730.0,1670.0,1010.0,1665.0,50.0,12.2,15.0,75.0,205.0,760,2016S05100760,13,New Brunswick,Shippagan,,6.4,11.3,10,-64.7186950453885,47.7432852185038,4
765,Smithers,18.0,305.0,66.1,190.0,40.0,80.0,125.0,10.0,2955.0,380.0,8218.0,45825.0,460.0,225.0,625.0,0.0,0.0,63.4,295.0,10.39,2045.0,120.0,33317.0,6432.0,37216.0,250.0,2750.0,69.4,514.9,5400.0,5351.0,1765.0,12.1,770.0,2595.0,4320.0,2780.0,4320.0,160.0,8.7,65.0,110.0,645.0,765,2016S05100765,59,British Columbia,Smithers,,6.0,7.2,0,-127.17179345406,54.7972271577761,5
